q,number,total,ooo
NET=0,2113283,715936827,0,0.00,0,0.00,715936827,100.00,0.00,0.00
0-50,2377743,1592941990,441392269,27.71,22068479,1.39,1570873511,98.61,5.00,1.39
50-113,638787,886916916,476033284,53.67,31414563,3.54,855502353,96.46,6.60,3.54
113-226,266983,619043215,412918723,66.70,40721121,6.58,578322094,93.42,9.86,6.58
226-423,85454,327980699,253404357,77.26,38060314,11.60,289920386,88.40,15.02,11.60
423-500,10059,55589079,46108751,82.95,8993143,16.18,46595936,83.82,19.50,16.18
500-1000,18873,144426223,125842638,87.13,30765824,21.30,113660399,78.70,24.45,21.30
1000以上,8151,259022999,245884547,94.93,88805932,34.28,170217067,65.72,36.12,34.28
